0.61	0.80
0.57	0.87
0.55	0.69
0.48	0.61
0.59	1.00
0.65	0.95
0.52	0.86
0.58	0.71
0.60	1.08
0.60	1.06
0.65	0.81
0.69	1.12
0.52	0.43
0.57	0.75
0.74	1.12
0.61	0.92
0.65	1.22
0.58	0.68
0.54	0.83
0.58	0.73
0.62	0.96
0.56	0.76
0.65	0.82
0.53	0.71
0.64	0.70
0.52	0.61
0.56	0.82
0.56	1.14
0.56	0.65
0.58	0.70
0.61	0.93
0.64	0.98
0.53	0.85
0.62	0.82
0.68	1.36
0.58	0.96
0.58	0.91
0.62	0.83
0.63	0.71
0.63	0.92
0.70	0.66
0.61	1.03
0.57	0.77
0.62	0.94
0.68	1.00
0.60	0.80
0.60	0.80
0.63	0.72
0.66	0.96
0.56	0.98
0.57	0.76
0.62	0.92
0.67	1.27
0.63	0.89
0.65	0.89
0.57	1.06
0.65	0.98
0.66	0.91
0.66	0.78
0.62	1.02
0.57	0.83
0.64	0.96
0.64	0.90
0.51	1.00
0.58	0.62
0.62	1.06
0.54	0.72
0.70	1.06
0.60	0.82
0.59	1.00
0.61	0.83
0.60	0.84
0.62	0.56
0.67	1.08
0.62	0.81
0.59	0.76
0.59	0.84
0.60	0.92
0.64	0.66
0.60	0.83
0.67	0.92
0.56	0.73
0.66	0.94
0.64	1.00
0.58	0.74
0.60	0.69
0.61	0.68
0.58	0.81
0.58	0.87
0.68	1.08
0.63	0.77
0.57	1.00
0.56	0.68
0.59	0.82
0.60	0.82
0.62	1.21
0.61	0.90
0.69	1.16
0.56	0.85
0.52	0.70
